Source,Target,Type,Weight,cooc,npmi,jaccard,surprise,is_new
policy:nihon_isan,t:企画展,Undirected,0.3853,2,0.3853,0.0541,-0.4287,False
t:美術館,t:独立行政法人,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:美術館,t:収益,Undirected,0.3853,2,0.3853,0.0541,-0.374,False
t:提言,t:文化政策,Undirected,0.3818,2,0.3818,0.08,-0.3794,False
t:芸術,t:文化政策,Undirected,0.3818,2,0.3818,0.08,0.7436,False
t:施設,t:運営,Undirected,0.3818,2,0.3818,0.1053,-0.3906,False
t:文化政策,t:補助金,Undirected,0.3818,2,0.3818,0.08,-0.3794,False
t:中期目標,t:博物館,Undirected,0.3801,2,0.3801,0.0526,-0.3849,False
t:閉館,t:博物館,Undirected,0.3801,2,0.3801,0.0526,-0.3849,False
t:管理,t:博物館,Undirected,0.3801,2,0.3801,0.0526,0.4083,False
t:博物館,t:収益,Undirected,0.3801,2,0.3801,0.0526,-0.3849,False
t:歴史,t:文化,Undirected,0.3793,4,0.3793,0.1143,0.489,False
t:地域,t:文化,Undirected,0.3793,4,0.3793,0.1143,0.489,False
t:改正,t:博物館,Undirected,0.3788,7,0.3788,0.1489,-0.385,False
t:公募,policy:shitei_kanrisha,Undirected,0.3785,2,0.3785,0.0952,-0.3671,False
t:事業,t:調査,Undirected,0.3785,2,0.3785,0.0952,-0.3671,False
t:長官,t:文化,Undirected,0.3719,2,0.3719,0.0645,-0.374,False
t:観光,t:文化,Undirected,0.3712,3,0.3712,0.0909,0.2899,False
t:改正,t:会議,Undirected,0.3672,2,0.3672,0.0909,-0.3556,False
policy:bunka_kanko_suishinho,t:支援,Undirected,0.3644,3,0.3644,0.1154,-0.3671,False
t:年フード,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:郷土料理,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:マネロン,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:宗教,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:脱税,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:ピーターパン,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:体験支援事業,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:子供舞台芸術鑑賞,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:創出,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:食文化ストーリー,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:プラットフォーム,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:伊藤学司,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:iPod,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:案提示,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:補償金,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:持ち掛ける,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:試算,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:要望書,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:長野原町,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:想定,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:ガイドライン策定,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
t:件目,org:bunkacho,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
org:bunkacho,t:日本博,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
org:bunkacho,t:防止,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
org:bunkacho,t:協力,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
org:bunkacho,t:調査官,Undirected,0.3625,2,0.3625,0.0328,0.4951,False
org:bunkacho,t:解散命令,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
org:bunkacho,t:教室,Undirected,0.3625,2,0.3625,0.0328,-0.3572,False
policy:hakubutsukanho,t:博物館,Undirected,0.3602,8,0.3602,0.1569,-0.3662,False
t:総合文化政策学部,t:事業,Undirected,0.3536,2,0.3536,0.0909,-0.3418,False
t:活用,t:保存,Undirected,0.3536,2,0.3536,0.0909,-0.3794,False
t:文化政策,t:考える,Undirected,0.3478,2,0.3478,0.0769,-0.3448,False
t:世界,t:支援,Undirected,0.3436,2,0.3436,0.0909,-0.354,False
t:廃棄,t:収蔵品,Undirected,0.3436,2,0.3436,0.0909,-0.3588,False
t:提出,org:bunkacho,Undirected,0.3341,3,0.3341,0.0484,-0.3278,False
t:沖縄県立博物館,t:美術館,Undirected,0.3316,2,0.3316,0.0526,-0.3194,False
t:枚目,t:美術館,Undirected,0.3316,2,0.3316,0.0526,-0.3194,False
t:国立,t:美術館,Undirected,0.3316,2,0.3316,0.0526,-0.3194,False
t:就任,policy:nihon_isan,Undirected,0.3316,2,0.3316,0.0526,-0.374,False
t:委託,policy:nihon_isan,Undirected,0.3316,2,0.3316,0.0526,-0.374,False
t:活用,t:収蔵品,Undirected,0.3316,2,0.3316,0.087,-0.3317,False
t:美術館,t:館長,Undirected,0.3316,2,0.3316,0.0526,-0.374,False
t:政策,t:文化,Undirected,0.3303,2,0.3303,0.0625,0.5966,False
t:助成,t:文化,Undirected,0.3303,2,0.3303,0.0625,-0.3317,False
t:展開,t:文化,Undirected,0.3303,2,0.3303,0.0625,0.5966,False
t:公募,t:美術館,Undirected,0.3276,3,0.3276,0.075,-0.3143,False
t:枚目,t:博物館,Undirected,0.3265,2,0.3265,0.0513,-0.3303,False
t:国立,t:博物館,Undirected,0.3265,2,0.3265,0.0513,-0.3303,False
t:満杯,t:博物館,Undirected,0.3265,2,0.3265,0.0513,-0.3303,False
t:活用,t:事業,Undirected,0.3244,3,0.3244,0.1034,-0.3244,False
t:歴史,t:学芸員,Undirected,0.324,2,0.324,0.087,-0.374,False
t:廃棄,t:運営,Undirected,0.324,2,0.324,0.087,0.61,False
t:稼ぐ,t:博物館,Undirected,0.3221,3,0.3221,0.0732,-0.3261,False
policy:hakubutsukanho,t:会議,Undirected,0.3191,2,0.3191,0.0741,-0.3067,False
t:高知県,t:文化政策,Undirected,0.3191,2,0.3191,0.0741,-0.3155,False
t:文化芸術,t:文化政策,Undirected,0.3191,2,0.3191,0.0741,-0.3155,False
t:事業,org:bunkacho,Undirected,0.3146,8,0.3146,0.1159,-0.3062,False
t:文化財保存活用地域,t:認定,Undirected,0.3073,4,0.3073,0.1026,-0.3341,False
t:日本,t:文化政策,Undirected,0.3021,3,0.3021,0.0938,0.7869,False
t:令和,t:文化財,Undirected,0.3021,3,0.3021,0.0938,-0.3296,False
t:美術館,t:巡る,Undirected,0.3007,3,0.3007,0.0732,-0.2869,False
policy:hakubutsukanho,t:巡る,Undirected,0.2942,2,0.2942,0.0714,-0.2813,False
t:施設,policy:shitei_kanrisha,Undirected,0.2942,2,0.2942,0.08,-0.2813,False
t:文化財,t:記念,Undirected,0.2942,2,0.2942,0.0714,0.6301,True
t:明記,t:美術館,Undirected,0.29,2,0.29,0.0513,-0.3194,False
t:団体,t:美術館,Undirected,0.29,2,0.29,0.0513,-0.277,False
policy:nihon_isan,t:講座,Undirected,0.29,2,0.29,0.0513,-0.3317,False
t:美術館,t:職員,Undirected,0.29,2,0.29,0.0513,-0.277,False
t:発信,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:漫画,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:アンケート,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:事例,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:中期目標,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:閉館,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:対策,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:育成,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:生かす,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
t:整備,org:bunkacho,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
org:bunkacho,t:制作,Undirected,0.2869,2,0.2869,0.0323,-0.2802,False
org:bunkacho,t:文化遺産,Undirected,0.2869,2,0.2869,0.0323,0.6115,False
org:bunkacho,t:取り組み,Undirected,0.2869,2,0.2869,0.0323,-0.3572,False
t:展示,t:博物館,Undirected,0.2849,2,0.2849,0.05,0.5246,False
t:博物館,t:危機,Undirected,0.2849,2,0.2849,0.05,-0.2879,False
t:指定管理,t:美術館,Undirected,0.2769,3,0.2769,0.0714,-0.2626,False
t:世界,t:文化財,Undirected,0.2722,2,0.2722,0.069,0.4557,False
t:稼ぐ,t:文化,Undirected,0.2675,2,0.2675,0.0588,-0.2678,False
t:文化,t:拠点,Undirected,0.2675,2,0.2675,0.0588,-0.2678,False
t:文化,t:調査,Undirected,0.2675,2,0.2675,0.0588,-0.2678,False
t:活用,t:文化財,Undirected,0.2602,3,0.2602,0.0857,-0.3001,False
t:解説,t:美術館,Undirected,0.256,2,0.256,0.05,-0.277,False
t:改正,t:日本,Undirected,0.2517,2,0.2517,0.0714,-0.2533,False
t:改正,t:登録,Undirected,0.2517,2,0.2517,0.0714,-0.2381,False
t:解説,t:博物館,Undirected,0.2509,2,0.2509,0.0488,-0.2879,False
t:求める,t:博物館,Undirected,0.2509,2,0.2509,0.0488,-0.2533,False
t:イベント,t:博物館,Undirected,0.2509,2,0.2509,0.0488,0.3354,False
t:博物館,t:TOKYO,Undirected,0.2509,2,0.2509,0.0488,0.5621,False
t:文化財保存活用地域,t:事業,Undirected,0.2492,2,0.2492,0.0714,-0.2355,False
t:日本,t:文化,Undirected,0.2463,3,0.2463,0.0769,-0.2626,False
t:施設,t:美術館,Undirected,0.2364,3,0.2364,0.0682,-0.2213,False
policy:hakubutsukanho,t:施設,Undirected,0.2348,2,0.2348,0.0645,-0.2208,False
t:向け,org:bunkacho,Undirected,0.2332,2,0.2332,0.0317,-0.2256,False
t:国立,org:bunkacho,Undirected,0.2332,2,0.2332,0.0317,-0.2256,False
t:計画認定,org:bunkacho,Undirected,0.2332,2,0.2332,0.0317,-0.2802,False
t:基準,org:bunkacho,Undirected,0.2332,2,0.2332,0.0317,-0.2802,False
t:策定,org:bunkacho,Undirected,0.2332,2,0.2332,0.0317,-0.2256,False
org:bunkacho,t:補助,Undirected,0.2332,2,0.2332,0.0317,-0.2256,False
t:高知県,t:美術館,Undirected,0.2272,2,0.2272,0.0488,-0.2131,False
t:改正,t:廃棄,Undirected,0.225,2,0.225,0.0667,-0.2381,False
t:無い,t:博物館,Undirected,0.2221,2,0.2221,0.0476,-0.2533,False
t:会議,org:bunkacho,Undirected,0.2212,3,0.2212,0.0462,-0.2127,False
org:bunkacho,t:調査,Undirected,0.2212,3,0.2212,0.0462,-0.2127,False
org:bunkacho,t:拠点,Undirected,0.2212,3,0.2212,0.0462,-0.2127,False
t:お知らせ,t:文化,Undirected,0.2207,2,0.2207,0.0556,-0.22,False
policy:hakubutsukanho,t:日本,Undirected,0.2036,2,0.2036,0.0606,-0.2043,False
policy:nihon_isan,t:巡る,Undirected,0.2023,2,0.2023,0.0476,-0.2424,False
